ngram,random_color
0x14] 0x80044005,"rgb(41,226,202)"
jmp 0x8a3f,"rgb(108,79,140)"
jmp 0x8780,"rgb(168,57,162)"
- 0x1ac34],"rgb(60,45,6)"
0x1ac34] 0,"rgb(31,13,231)"
0x1afe8] 0,"rgb(208,66,93)"
- 0x142c],"rgb(38,254,15)"
je 0x8a33,"rgb(43,199,209)"
jne 0x8a07,"rgb(116,29,64)"
jmp 0x8a33,"rgb(220,106,124)"
js 0x8a21,"rgb(241,156,160)"
0x1ac34] eax,"rgb(223,96,119)"
jne 0x89c3,"rgb(170,44,4)"
jns 0x8994,"rgb(8,38,82)"
jmp 0x837a,"rgb(197,212,8)"
- 0x1b028],"rgb(222,132,161)"
0x1b028] xmm0,"rgb(46,251,216)"
0x1b028] 0x1a001e,"rgb(36,0,12)"
- 0x1b020],"rgb(75,202,165)"
0x1b020] 0x414ca8,"rgb(237,171,28)"
je 0x8b41,"rgb(164,190,16)"
je 0x8b73,"rgb(94,42,218)"
jmp 0x8ba1,"rgb(207,131,181)"
eax 0x408b82,"rgb(218,2,16)"
0x1b05c] eax,"rgb(47,237,216)"
je 0x8bd8,"rgb(221,3,120)"
push 0x414cb4,"rgb(23,219,37)"
0x1afd0] 1,"rgb(105,2,206)"
jmp 0x8c1e,"rgb(163,254,158)"
push 0x414cd0,"rgb(131,79,9)"
jl 0x8e15,"rgb(116,209,126)"
jne 0x8d38,"rgb(255,111,178)"
0x1ac30] eax,"rgb(202,124,104)"
js 0x8d12,"rgb(167,171,216)"
push 0xd,"rgb(128,175,221)"
push 0x414cec,"rgb(173,6,248)"
je 0x8c95,"rgb(193,240,227)"
push 0x414ca8,"rgb(150,14,220)"
js 0x8cf6,"rgb(144,195,174)"
ecx 0xa,"rgb(241,16,248)"
eax 0x414cfc,"rgb(14,21,45)"
jmp 0x8e15,"rgb(107,164,206)"
ecx 0x12,"rgb(78,169,103)"
eax 0x414d08,"rgb(122,175,112)"
ecx 0x13,"rgb(39,22,194)"
eax 0x414d1c,"rgb(193,32,159)"
push 0x414e50,"rgb(127,80,245)"
js 0x8de7,"rgb(153,88,150)"
je 0x8dc7,"rgb(67,56,207)"
0x1ac30] 1,"rgb(246,191,32)"
jne 0x8dc7,"rgb(171,159,69)"
0x1ad04] 0,"rgb(154,241,15)"
- 0x1ad08],"rgb(232,54,142)"
0x1ad08] 0xe0a0102,"rgb(106,208,134)"
0x1acfc] eax,"rgb(239,197,13)"
- 0x1ad00],"rgb(195,171,31)"
0x1ad00] ecx,"rgb(38,6,3)"
jmp 0x8e63,"rgb(35,190,51)"
push 0x414d30,"rgb(182,110,235)"
je 0x8e91,"rgb(95,46,65)"
jmp 0x8e91,"rgb(217,241,54)"
push 0x414d4c,"rgb(246,9,227)"
jmp 0x8eb8,"rgb(196,209,159)"
push 0x414d64,"rgb(210,139,47)"
jmp 0x8ee6,"rgb(12,38,90)"
push 0x414d78,"rgb(46,40,221)"
- 0x1ace4],"rgb(171,191,8)"
0x1ace4] xmm0,"rgb(122,169,56)"
0x1ace4] 0,"rgb(237,248,63)"
- 0x1acd4],"rgb(0,71,114)"
0x1acd4] xmm0,"rgb(43,97,142)"
- 0x1ace0],"rgb(231,11,64)"
0x1ace0] 0,"rgb(96,226,197)"
- 0x1acdc],"rgb(178,80,254)"
0x1acdc] 0,"rgb(246,118,79)"
- 0x1acd8],"rgb(83,218,216)"
0x1acd8] 0,"rgb(153,14,245)"
0x1acd4] 0,"rgb(230,99,38)"
- 0x1acd0],"rgb(6,87,150)"
0x1acd0] 0,"rgb(206,129,236)"
4] 0x1b,"rgb(122,167,192)"
push 0x414d94,"rgb(248,188,203)"
4] 0x1c,"rgb(134,139,28)"
je 0x8fc8,"rgb(253,171,88)"
je 0x8ffa,"rgb(20,45,181)"
je 0x902c,"rgb(63,194,9)"
je 0x905e,"rgb(207,251,130)"
jb 0x909a,"rgb(192,132,47)"
jb 0x9090,"rgb(158,242,217)"
jbe 0x9090,"rgb(154,60,190)"
push 0x412a2f,"rgb(97,173,192)"
esp 0x8c,"rgb(156,51,229)"
0x78] esi,"rgb(31,76,207)"
- 0x98],"rgb(197,201,183)"
0x98] edi,"rgb(234,175,205)"
0x94] 0,"rgb(144,6,198)"
0x74] xmm0,"rgb(90,152,91)"
0x64] xmm0,"rgb(91,99,175)"
0x6c] xmm0,"rgb(93,192,45)"
push 0x414d9c,"rgb(122,115,121)"
0x94] 1,"rgb(43,101,141)"
- 0x7c],"rgb(67,31,111)"
0x7c] ecx,"rgb(131,22,236)"
- 0x8c],"rgb(148,66,122)"
- 0x84],"rgb(151,104,50)"
jne 0x91c0,"rgb(25,139,106)"
jns 0x91c6,"rgb(61,151,55)"
je 0x91ef,"rgb(44,170,31)"
je 0x9218,"rgb(113,210,139)"
je 0x92d0,"rgb(221,238,113)"
je 0x92a7,"rgb(198,78,154)"
0x7c] 0,"rgb(36,209,105)"
js 0x94cd,"rgb(43,154,1)"
je 0x94cd,"rgb(210,196,90)"
0x78] 0,"rgb(221,4,98)"
0x3c] 0x3d04000b,"rgb(172,153,228)"
0x34] cx,"rgb(42,81,248)"
0x84] ecx,"rgb(137,38,184)"
0x90] 4,"rgb(160,35,203)"
0x8c] 4,"rgb(48,138,87)"
0x88] 0x3d04000b,"rgb(109,162,192)"
jbe 0x94cd,"rgb(158,78,173)"
je 0x943c,"rgb(16,92,167)"
je 0x9433,"rgb(247,70,22)"
2] 0,"rgb(249,35,99)"
je 0x942e,"rgb(49,136,11)"
+ 3],"rgb(68,111,143)"
3] 0,"rgb(177,32,83)"
je 0x9429,"rgb(125,129,121)"
ecx 4,"rgb(55,37,199)"
ecx 0x100,"rgb(126,93,143)"
jb 0x9402,"rgb(137,151,251)"
jmp 0x9434,"rgb(207,68,50)"
ecx 2,"rgb(89,199,144)"
je 0x9444,"rgb(90,11,171)"
je 0x94a4,"rgb(89,204,125)"
jmp 0x94e9,"rgb(96,206,61)"
eax 0x4094dc,"rgb(157,195,159)"
0x5c] xmm0,"rgb(165,127,150)"
0x4c] xmm0,"rgb(7,162,234)"
je 0x9588,"rgb(11,83,8)"
je 0x95b1,"rgb(185,28,156)"
je 0x95da,"rgb(156,16,63)"
je 0x9603,"rgb(149,135,133)"
je 0x962c,"rgb(145,80,221)"
je 0x9655,"rgb(55,57,204)"
push 0x412b4d,"rgb(130,213,98)"
0x90] esi,"rgb(155,241,34)"
0x8c] eax,"rgb(207,93,238)"
0x84] eax,"rgb(200,144,225)"
esi 0x50,"rgb(134,244,180)"
jne 0x9770,"rgb(83,17,95)"
jns 0x9772,"rgb(153,167,248)"
je 0x979f,"rgb(247,78,119)"
je 0x97c8,"rgb(243,43,248)"
je 0x97f3,"rgb(73,255,112)"
push 0x414da8,"rgb(6,212,162)"
jne 0x983e,"rgb(85,192,212)"
jns 0x9840,"rgb(56,51,19)"
je 0x986d,"rgb(102,228,191)"
je 0x9896,"rgb(72,199,110)"
je 0x994e,"rgb(102,45,155)"
0x88] eax,"rgb(103,246,9)"
je 0x9925,"rgb(203,51,177)"
push 0x414db0,"rgb(50,211,12)"
jne 0x9990,"rgb(135,187,190)"
jns 0x9992,"rgb(250,75,201)"
je 0x99bf,"rgb(178,95,184)"
je 0x99e8,"rgb(116,86,209)"
je 0x9ab0,"rgb(47,222,6)"
4] 0xb,"rgb(149,255,42)"
call 0x6520,"rgb(178,202,72)"
0x50] eax,"rgb(123,166,33)"
je 0x9a87,"rgb(37,161,192)"
push 0x414db4,"rgb(100,127,41)"
jne 0x9af2,"rgb(200,225,220)"
jns 0x9af4,"rgb(162,24,14)"
je 0x9b21,"rgb(155,94,180)"
je 0x9b4a,"rgb(1,114,88)"
je 0x9c12,"rgb(109,92,199)"
4] 0x10,"rgb(91,25,195)"
je 0x9be9,"rgb(239,62,73)"
push 0x414db8,"rgb(159,179,171)"
jne 0x9c54,"rgb(250,180,182)"
jns 0x9c56,"rgb(29,26,103)"
je 0x9c83,"rgb(239,124,137)"
je 0x9cac,"rgb(207,176,71)"
je 0x9d74,"rgb(171,231,121)"
4] 0x13,"rgb(240,206,36)"
0x58] eax,"rgb(83,149,194)"
je 0x9d4b,"rgb(185,94,251)"
push 0x414dbc,"rgb(153,26,19)"
jne 0x9db6,"rgb(91,133,96)"
jns 0x9db8,"rgb(225,237,237)"
je 0x9de5,"rgb(89,41,193)"
je 0x9e0e,"rgb(98,13,49)"
je 0x9e31,"rgb(60,119,171)"
jns 0x9e9d,"rgb(52,40,107)"
jmp 0xa23c,"rgb(118,47,58)"
0x58] ecx,"rgb(67,66,110)"
0x54] ecx,"rgb(175,75,98)"
0x50] ecx,"rgb(81,66,92)"
call 0xade0,"rgb(223,158,226)"
je 0x9fe4,"rgb(255,207,204)"
je 0x9f65,"rgb(76,178,216)"
je 0x9f8e,"rgb(64,206,119)"
je 0x9fbb,"rgb(34,218,145)"
je 0xa0df,"rgb(116,30,226)"
4] 0x1a,"rgb(67,174,204)"
je 0xa060,"rgb(24,52,159)"
je 0xa089,"rgb(161,90,184)"
je 0xa0b6,"rgb(48,175,252)"
je 0xa1da,"rgb(21,231,128)"
je 0xa15b,"rgb(87,161,190)"
je 0xa184,"rgb(41,223,74)"
je 0xa1b1,"rgb(138,109,234)"
je 0xa1eb,"rgb(53,120,137)"
je 0xa1fc,"rgb(190,61,95)"
je 0xa20d,"rgb(25,208,100)"
push 0x412c0d,"rgb(82,135,140)"
esp 0x5c,"rgb(0,97,238)"
0x60] eax,"rgb(173,146,212)"
jne 0xa334,"rgb(143,243,74)"
jns 0xa337,"rgb(102,92,255)"
je 0xa364,"rgb(237,185,66)"
je 0xa38d,"rgb(44,168,236)"
je 0xa3b1,"rgb(194,106,35)"
jne 0xa3f8,"rgb(152,18,82)"
jns 0xa3fb,"rgb(69,49,18)"
je 0xa428,"rgb(245,152,252)"
je 0xa451,"rgb(251,75,53)"
je 0xa51a,"rgb(27,52,177)"
je 0xa4f1,"rgb(185,174,81)"
jne 0xa55b,"rgb(17,66,66)"
jns 0xa55e,"rgb(235,85,158)"
je 0xa58b,"rgb(112,116,56)"
je 0xa5b4,"rgb(129,167,40)"
je 0xa67d,"rgb(30,232,237)"
je 0xa654,"rgb(117,238,109)"
jne 0xa6be,"rgb(62,21,90)"
jns 0xa6c1,"rgb(25,86,214)"
je 0xa6ee,"rgb(71,132,18)"
je 0xa717,"rgb(253,238,17)"
je 0xa7e0,"rgb(71,184,228)"
je 0xa7b7,"rgb(28,255,187)"
call 0xa8b0,"rgb(70,159,221)"
je 0xa82f,"rgb(252,173,252)"
jmp 0xa831,"rgb(136,107,164)"
je 0xa842,"rgb(241,78,252)"
je 0xa853,"rgb(243,114,37)"
je 0xa864,"rgb(8,172,192)"
ret 0x14,"rgb(239,96,154)"
je 0xa951,"rgb(82,86,21)"
je 0xa935,"rgb(12,229,182)"
je 0xa92c,"rgb(246,254,218)"
je 0xa927,"rgb(185,40,72)"
je 0xa922,"rgb(251,100,145)"
je 0xa91d,"rgb(126,47,75)"
esi 5,"rgb(204,201,233)"
eax 5,"rgb(11,107,11)"
jb 0xa8f0,"rgb(172,158,61)"
jmp 0xa92d,"rgb(235,126,74)"
esi 2,"rgb(252,202,202)"
jne 0xa935,"rgb(194,159,116)"
call 0x64a0,"rgb(51,83,234)"
jmp 0xa958,"rgb(174,192,187)"
je 0xa9c2,"rgb(32,78,221)"
je 0xa9a9,"rgb(138,166,32)"
je 0xa9a0,"rgb(191,145,131)"
je 0xa99b,"rgb(208,100,63)"
je 0xa996,"rgb(182,245,41)"
je 0xa991,"rgb(229,115,247)"
jb 0xa964,"rgb(77,32,97)"
jmp 0xa9a1,"rgb(45,233,32)"
jne 0xa9a9,"rgb(27,206,117)"
jmp 0xa9c9,"rgb(15,181,201)"
je 0xaa33,"rgb(5,8,137)"
je 0xaa1a,"rgb(169,184,144)"
je 0xaa11,"rgb(211,241,84)"
je 0xaa0c,"rgb(188,79,177)"
je 0xaa07,"rgb(72,25,183)"
je 0xaa02,"rgb(46,96,185)"
jb 0xa9d5,"rgb(63,157,158)"
jmp 0xaa12,"rgb(108,247,15)"
jne 0xaa1a,"rgb(21,156,212)"
jmp 0xaa3a,"rgb(164,206,165)"
call 0xabb0,"rgb(116,8,244)"
je 0xab35,"rgb(64,252,177)"
je 0xab3a,"rgb(36,251,224)"
jns 0xaae4,"rgb(135,103,99)"
jne 0xaac7,"rgb(157,201,55)"
jge 0xaae4,"rgb(85,190,203)"
jmp 0xab93,"rgb(44,117,41)"
je 0xaafe,"rgb(136,215,145)"
je 0xab0f,"rgb(132,118,239)"
je 0xab20,"rgb(76,84,176)"
ret 0x18,"rgb(181,209,58)"
je 0xab42,"rgb(108,72,12)"
edi 0x8123,"rgb(165,211,194)"
je 0xab64,"rgb(128,48,48)"
je 0xab81,"rgb(20,38,218)"
je 0xab93,"rgb(44,237,104)"
esp 0x28,"rgb(101,114,96)"
0x24] edx,"rgb(165,160,215)"
+ edx*4,"rgb(5,165,23)"
edx*4 -,"rgb(164,13,196)"
je 0xac07,"rgb(197,66,130)"
inc ebx,"rgb(12,22,67)"
cmp al,"rgb(251,54,209)"
al 0x3b,"rgb(181,163,199)"
je 0xabfe,"rgb(115,234,46)"
al 0xa,"rgb(235,23,50)"
jne 0xabff,"rgb(74,79,211)"
jne 0xabf6,"rgb(127,247,18)"
jb 0xabe0,"rgb(214,147,20)"
je 0xadbf,"rgb(250,200,244)"
ecx [eax*4,"rgb(65,100,168)"
[eax*4 +,"rgb(169,11,37)"
js 0xadbf,"rgb(50,146,92)"
[eax] ebx,"rgb(177,250,248)"
eax -,"rgb(82,8,227)"
je 0xad9a,"rgb(200,242,215)"
ebx [edi,"rgb(224,79,100)"
+ edi*2],"rgb(11,245,218)"
shl ebx,"rgb(43,151,148)"
ebx 2,"rgb(110,60,147)"
ptr [0x41971c],"rgb(143,105,245)"
push 0x406490,"rgb(75,201,17)"
[0x41971c] eax,"rgb(231,54,113)"
ptr [0x4141ec],"rgb(254,180,218)"
push 0x41971c,"rgb(102,38,200)"
push 0x414dcc,"rgb(103,65,240)"
ptr [0x414224],"rgb(178,58,34)"
je 0xad97,"rgb(79,184,20)"
je 0xad1d,"rgb(24,95,197)"
je 0xad0c,"rgb(164,29,216)"
je 0xad07,"rgb(137,160,156)"
je 0xad02,"rgb(98,108,221)"
je 0xacfd,"rgb(153,27,181)"
edx 5,"rgb(66,207,101)"
ecx 5,"rgb(28,153,65)"
edx 0x104,"rgb(247,133,156)"
jb 0xacd0,"rgb(114,78,185)"
jmp 0xad0d,"rgb(179,102,181)"
edx 4,"rgb(82,11,235)"
edx 0x140,"rgb(162,232,205)"
ja 0xad90,"rgb(76,46,186)"
eax 0xc,"rgb(224,181,243)"
js 0xad80,"rgb(122,65,155)"
[eax] 0x3001001e,"rgb(42,116,223)"
0x10] 0xc150003,"rgb(252,116,98)"
+ 0x414e14],"rgb(16,166,15)"
jmp 0xac90,"rgb(72,208,244)"
jb 0xac70,"rgb(110,172,202)"
esp 0x74,"rgb(117,22,58)"
0x70] eax,"rgb(230,97,196)"
0x28] edx,"rgb(163,147,69)"
je 0xaf33,"rgb(3,94,215)"
jne 0xae4f,"rgb(219,193,11)"
jmp 0xaf20,"rgb(176,144,0)"
eax 0x414dd0,"rgb(214,133,3)"
0x30] 0x21,"rgb(218,111,179)"
0x44] xmm0,"rgb(34,172,99)"
0x68] xmm0,"rgb(53,236,209)"
je 0xaebd,"rgb(212,55,59)"
0x70] 2,"rgb(93,24,212)"
je 0xaeca,"rgb(210,228,235)"
0x70] 3,"rgb(92,231,119)"
+ 0x64],"rgb(150,234,252)"
js 0xaf27,"rgb(192,160,7)"
call 0xaf50,"rgb(15,138,156)"
+ 0x7c],"rgb(96,121,24)"
ebx esp,"rgb(23,13,228)"
ebp dword,"rgb(254,111,40)"
4] ebp,"rgb(188,223,21)"
push 0x412ca6,"rgb(104,112,171)"
esp 0x98,"rgb(144,97,17)"
0x94] ecx,"rgb(97,176,246)"
0x90] eax,"rgb(127,57,5)"
- 0x9c],"rgb(192,95,211)"
0x9c] eax,"rgb(166,34,117)"
- 0xa0],"rgb(232,176,82)"
0xa0] eax,"rgb(183,238,100)"
- 0xa4],"rgb(239,210,176)"
0xa4] eax,"rgb(228,96,29)"
je 0xb3f9,"rgb(17,63,151)"
0x54] xmm0,"rgb(197,88,45)"
jle 0xb2b2,"rgb(115,186,98)"
edi 4,"rgb(158,66,125)"
call 0xb420,"rgb(43,191,51)"
je 0xb1ac,"rgb(37,0,123)"
je 0xb181,"rgb(108,233,181)"
jne 0xb24a,"rgb(183,0,162)"
je 0xb179,"rgb(56,8,87)"
push 0x414de0,"rgb(234,28,13)"
je 0xb147,"rgb(92,71,6)"
0x84] 0,"rgb(167,99,141)"
jmp 0xb241,"rgb(104,131,78)"
jmp 0xb111,"rgb(9,225,141)"
je 0xb23e,"rgb(127,162,106)"
je 0xb20c,"rgb(42,35,70)"
je 0xb277,"rgb(124,17,159)"
je 0xb2a0,"rgb(2,237,55)"
edi 0xc,"rgb(165,82,228)"
jl 0xb070,"rgb(127,16,149)"
je 0xb2cd,"rgb(127,25,228)"
je 0xb2e8,"rgb(198,165,164)"
je 0xb303,"rgb(176,90,92)"
je 0xb32c,"rgb(71,124,9)"
je 0xb355,"rgb(235,13,90)"
je 0xb37e,"rgb(194,69,32)"
je 0xb3a7,"rgb(109,182,25)"
je 0xb3d0,"rgb(26,242,140)"
esp ebx,"rgb(6,48,26)"
push 0x412d05,"rgb(180,90,93)"
0x5c] ecx,"rgb(251,150,146)"
0x64] ecx,"rgb(105,231,28)"
0x34] 0xffffffff,"rgb(50,231,211)"
je 0xb534,"rgb(252,237,229)"
jge 0xb51a,"rgb(141,168,129)"
ecx 0x3001001e,"rgb(21,228,110)"
ja 0xb4f7,"rgb(39,72,51)"
je 0xb4ec,"rgb(132,54,243)"
ecx 0xc150003,"rgb(14,247,104)"
je 0xb4e1,"rgb(192,215,93)"
ecx 0xffe0003,"rgb(4,81,82)"
jne 0xb514,"rgb(60,20,224)"
jmp 0xb4b4,"rgb(226,180,29)"
0x34] ecx,"rgb(44,134,200)"
ecx 0x3002001e,"rgb(52,122,63)"
je 0xb512,"rgb(123,32,234)"
ecx 0x3003001e,"rgb(99,54,220)"
0x58] 8,"rgb(3,90,40)"
jne 0xb6ce,"rgb(238,247,53)"
call 0xb870,"rgb(187,186,239)"
setne byte,"rgb(187,37,152)"
- 0x29],"rgb(234,158,101)"
je 0xb58a,"rgb(32,66,127)"
je 0xb5b3,"rgb(175,130,172)"
0x29] 0,"rgb(8,94,204)"
je 0xb64b,"rgb(68,189,83)"
je 0xb640,"rgb(29,36,226)"
je 0xb617,"rgb(3,107,98)"
je 0xb65c,"rgb(181,86,119)"
je 0xb685,"rgb(246,132,88)"
je 0xb6ae,"rgb(150,165,193)"
je 0xb75e,"rgb(228,5,170)"
ecx 0x414de4,"rgb(62,214,249)"
mov dl,"rgb(89,141,149)"
dl byte,"rgb(234,217,38)"
cmp dl,"rgb(81,99,119)"
jne 0xb700,"rgb(103,10,59)"
test dl,"rgb(95,187,75)"
dl dl,"rgb(188,132,98)"
je 0xb6fc,"rgb(40,33,14)"
eax 2,"rgb(34,9,97)"
jne 0xb6e0,"rgb(209,51,67)"
jmp 0xb705,"rgb(223,201,60)"
jne 0xb70e,"rgb(145,205,239)"
jmp 0xb761,"rgb(252,110,184)"
eax 0x414dec,"rgb(147,224,71)"
jne 0xb733,"rgb(62,166,82)"
test cl,"rgb(156,157,141)"
je 0xb72f,"rgb(147,83,218)"
jne 0xb713,"rgb(252,177,107)"
jmp 0xb738,"rgb(230,194,136)"
jne 0xb761,"rgb(204,136,230)"
call 0xba60,"rgb(35,49,143)"
cmovne esi,"rgb(171,252,108)"
je 0xb7ec,"rgb(250,204,36)"
je 0xb7c3,"rgb(91,11,235)"
je 0xb82e,"rgb(16,34,88)"
jmp 0xb64b,"rgb(197,165,74)"
esp 0x2c,"rgb(176,81,185)"
eax 0x19,"rgb(218,42,43)"
jge 0xba47,"rgb(198,54,7)"
0x44] eax,"rgb(30,36,59)"
je 0xba47,"rgb(208,40,107)"
[eax] 0xfff0102,"rgb(19,151,135)"
je 0xb8da,"rgb(98,201,70)"
jb 0xb8b7,"rgb(231,155,61)"
js 0xba47,"rgb(115,245,43)"
8] 8,"rgb(84,173,232)"
jne 0xb940,"rgb(238,59,229)"
jns 0xb963,"rgb(101,194,172)"
push 0x64,"rgb(86,23,89)"
js 0xba1e,"rgb(55,107,122)"
je 0xb9bf,"rgb(213,48,131)"
jle 0xb9bf,"rgb(26,38,172)"
jl 0xb9a2,"rgb(109,31,165)"
je 0xba11,"rgb(204,97,24)"
jbe 0xb9ff,"rgb(221,74,104)"
ebx [esi,"rgb(55,38,120)"
je 0xb9f4,"rgb(57,240,9)"
jb 0xb9d5,"rgb(126,197,255)"
jne 0xb963,"rgb(212,194,136)"
dec dword,"rgb(107,140,56)"
push 0x412d3d,"rgb(163,193,203)"
esp 0x6c,"rgb(54,30,175)"
jne 0xbaee,"rgb(101,27,75)"
jns 0xbaf1,"rgb(103,105,86)"
je 0xbb21,"rgb(142,105,152)"
je 0xbb4a,"rgb(164,13,34)"
je 0xbb6e,"rgb(51,224,8)"
je 0xbee9,"rgb(106,242,233)"
je 0xbef0,"rgb(228,251,190)"
js 0xbee4,"rgb(52,76,62)"
js 0xbed1,"rgb(125,104,21)"
je 0xbed1,"rgb(51,56,15)"
je 0xbc3c,"rgb(53,249,107)"
js 0xbc3c,"rgb(32,221,167)"
jne 0xbc3c,"rgb(24,120,245)"
jmp 0xbbe7,"rgb(138,150,3)"
js 0xbec1,"rgb(81,18,70)"
push 0x414e60,"rgb(186,121,223)"
js 0xbeae,"rgb(112,100,7)"
je 0xbe97,"rgb(104,11,51)"
jne 0xbe97,"rgb(88,9,60)"
js 0xbe97,"rgb(158,150,21)"
js 0xbe84,"rgb(170,93,111)"
js 0xbe71,"rgb(191,121,35)"
je 0xbe5e,"rgb(30,230,102)"
js 0xbe55,"rgb(220,76,15)"
+ 0x48],"rgb(232,132,255)"
js 0xbe42,"rgb(69,174,194)"
[edx] 1,"rgb(61,174,109)"
jne 0xbe39,"rgb(125,98,215)"
je 0xbe39,"rgb(25,239,244)"
[ecx] 0x39fe001e,"rgb(119,88,155)"
je 0xbe22,"rgb(191,104,43)"
jb 0xbe10,"rgb(80,77,181)"
jmp 0xbe39,"rgb(113,51,213)"
0x4c] 1,"rgb(13,241,87)"
jmp 0xbef2,"rgb(187,207,239)"
push 0x412d9f,"rgb(252,240,27)"
ptr fs:[0x2c],"rgb(16,113,165)"
ptr [0x419720],"rgb(14,80,186)"
jle 0xc0ec,"rgb(118,220,35)"
push 0x419720,"rgb(31,194,29)"
call 0x10efa,"rgb(60,242,70)"
[0x419720] -1,"rgb(17,28,204)"
jne 0xc0ec,"rgb(249,104,255)"
push 0x68,"rgb(248,196,234)"
push 0x419740,"rgb(129,152,113)"
ptr [0x419750],"rgb(10,210,118)"
[0x419750] 0,"rgb(172,202,208)"
ptr [0x419740],"rgb(155,229,98)"
[0x419740] xmm0,"rgb(225,255,21)"
ptr [0x419754],"rgb(89,122,136)"
[0x419754] 0,"rgb(189,80,113)"
ptr [0x419758],"rgb(254,124,224)"
[0x419758] 0,"rgb(179,210,118)"
ptr [0x41975c],"rgb(217,126,125)"
[0x41975c] 0,"rgb(34,119,9)"
[0x419758] eax,"rgb(9,169,228)"
ptr [0x419760],"rgb(167,20,11)"
[0x419760] 0,"rgb(160,144,229)"
ptr [0x419764],"rgb(55,43,70)"
[0x419764] 0,"rgb(56,133,169)"
[0x419760] eax,"rgb(109,102,201)"
push 0x419778,"rgb(85,38,128)"
ptr [0x4140f0],"rgb(23,241,194)"
push 0x419790,"rgb(1,189,143)"
ptr [0x419768],"rgb(46,97,162)"
[0x419768] eax,"rgb(88,80,223)"
ptr [0x419770],"rgb(130,114,148)"
[0x419770] eax,"rgb(240,170,170)"
ptr [0x419774],"rgb(58,250,142)"
[0x419774] eax,"rgb(98,111,81)"
ecx 0x419740,"rgb(8,210,98)"
ptr [0x41976c],"rgb(8,137,193)"
[0x41976c] eax,"rgb(39,68,99)"
ecx 0x419758,"rgb(15,226,253)"
push 0x419758,"rgb(198,171,71)"
ecx 0x419760,"rgb(79,114,64)"
push 0x419760,"rgb(169,178,189)"
push 0x413530,"rgb(36,212,171)"
call 0x10eb0,"rgb(167,78,228)"
eax 0x419740,"rgb(43,151,174)"
jne 0xc120,"rgb(65,188,63)"
ja 0xc184,"rgb(66,219,205)"
ebx esi,"rgb(80,35,127)"
jb 0xc167,"rgb(94,135,204)"
0x10] edi,"rgb(47,26,72)"
ebx] 0,"rgb(27,246,26)"
ja 0xc26f,"rgb(243,68,185)"
or ebx,"rgb(202,101,226)"
ebx 0xf,"rgb(20,254,230)"
ebx 0x7fffffff,"rgb(182,41,68)"
jbe 0xc1a4,"rgb(214,183,158)"
jmp 0xc1c2,"rgb(156,141,43)"
jbe 0xc1ba,"rgb(25,8,231)"
cmovb ebx,"rgb(18,142,15)"
setb cl,"rgb(94,84,60)"
neg ecx,"rgb(159,96,247)"
or ecx,"rgb(214,126,115)"
jb 0xc1fd,"rgb(34,112,139)"
jbe 0xc274,"rgb(14,76,151)"
je 0xc269,"rgb(80,34,97)"
jmp 0xc20e,"rgb(172,49,201)"
je 0xc20c,"rgb(224,145,158)"
0x14] ebx,"rgb(216,178,213)"
jb 0xc25c,"rgb(157,200,10)"
jb 0xc252,"rgb(121,251,62)"
ja 0xc269,"rgb(29,198,51)"
ecx 0x7fffffff,"rgb(228,48,113)"
jb 0xc3bb,"rgb(112,19,98)"
jbe 0xc2be,"rgb(237,99,212)"
jmp 0xc2d6,"rgb(214,126,30)"
jbe 0xc2cf,"rgb(60,185,102)"
jb 0xc313,"rgb(79,108,128)"
jbe 0xc3c0,"rgb(52,236,118)"
je 0xc396,"rgb(123,118,165)"
jmp 0xc326,"rgb(104,143,4)"
je 0xc324,"rgb(60,95,81)"
0xc] 0x10,"rgb(123,175,25)"
jb 0xc39c,"rgb(208,172,147)"
jb 0xc37f,"rgb(5,218,238)"
ja 0xc396,"rgb(18,198,102)"
push 0x412dd5,"rgb(117,44,78)"
esp 0x848,"rgb(59,79,9)"
edi 0xfffffff0,"rgb(90,11,72)"
je 0xc764,"rgb(66,56,13)"
- 0x444],"rgb(122,73,124)"
0x444] 6,"rgb(16,171,97)"
- 0x440],"rgb(19,73,108)"
0x440] 1,"rgb(189,155,249)"
0x43c] 1,"rgb(166,143,186)"
je 0xc46e,"rgb(41,194,78)"
push 0x208,"rgb(167,243,80)"
0x438] 0x208,"rgb(135,183,209)"
jne 0xc764,"rgb(105,52,103)"
0x850] 0,"rgb(177,94,249)"
0x34] esi,"rgb(126,69,167)"
jne 0xc522,"rgb(3,166,130)"
jb 0xc4fd,"rgb(47,34,173)"
jb 0xc4f3,"rgb(70,2,95)"
ja 0xc733,"rgb(62,177,70)"
0x18] 7,"rgb(53,24,190)"
0x2c] ax,"rgb(83,103,178)"
jmp 0xc764,"rgb(76,172,78)"
0x438] 0x400,"rgb(199,235,131)"
jbe 0xc58d,"rgb(158,38,57)"
jb 0xc568,"rgb(38,252,46)"
jb 0xc55e,"rgb(182,143,11)"
jne 0xc60c,"rgb(249,43,97)"
jb 0xc59b,"rgb(12,159,77)"
ptr [0x414088],"rgb(176,162,21)"
jb 0xc5e7,"rgb(162,68,186)"
jb 0xc5dd,"rgb(36,157,45)"
push 0x7530,"rgb(113,225,17)"
jne 0xc707,"rgb(243,119,151)"
eax 0x5b4,"rgb(84,91,255)"
jne 0xc6b2,"rgb(88,163,161)"
jb 0xc68d,"rgb(57,116,90)"
